,bathrooms,bedrooms,beds,room_type,accommodates,bed_type,guests_included,minimum_nights,maximum_nights,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,host_has_profile_pic,host_identity_verified,price,price_per_person,accom_per_bed,baths_per_bed,extra_guest_ratio,price_surge_percent,price_std_percent,cleaning_fee_percent,guest_fee_percent,property_type_Apartment,property_type_House,property_type_Other,neighborhood_Ballard,neighborhood_Beacon Hill,neighborhood_Capitol Hill,neighborhood_Cascade,neighborhood_Central Area,neighborhood_Downtown,neighborhood_Other neighborhoods,neighborhood_Queen Anne,neighborhood_Rainier Valley,neighborhood_University District,neighborhood_West Seattle
0,1.0,1.0,1.0,2,4,1,2,1,365,1,0,0,1,1,85.0,21.25,4.0,1.0,0.5,0.0,0.0,0.0,5.88235294117647,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.0,1.0,1.0,2,4,1,1,2,90,2,1,1,1,1,150.0,37.5,4.0,1.0,0.25,13.95418098510881,24.81683477026515,26.666666666666668,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,4.5,5.0,7.0,2,11,1,10,4,30,2,0,0,1,1,450.0,88.63636363636364,1.5714285714285714,0.6428571428571429,0.9090909090909091,33.519813519813525,36.54591660549129,30.76923076923077,2.564102564102564,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1.0,0.0,2.0,2,3,1,1,1,1125,0,0,0,1,1,100.0,33.333333333333336,1.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2.0,3.0,3.0,2,6,1,6,1,1125,2,0,0,1,1,450.0,75.0,2.0,0.6666666666666666,1.0,2.8310502283104944,5.267376473559163,27.77777777777778,3.3333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,1.0,1.0,1.0,1,2,1,1,1,6,2,0,0,1,1,120.0,60.0,2.0,1.0,0.5,4.690949227373076,7.507604053456395,33.33333333333333,25.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,1.0,1.0,1.0,1,2,1,1,3,14,1,0,0,1,1,80.0,40.0,2.0,1.0,0.5,0.0,0.0,0.0,12.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,1.0,1.0,1.0,1,2,1,1,2,7,2,1,1,1,1,60.0,30.0,2.0,1.0,0.5,-3.733333333333333,7.970625081982645,41.66666666666667,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1.0,1.0,1.0,1,2,1,1,3,1125,2,0,0,1,1,90.0,45.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1.0,1.0,1.0,2,4,1,1,2,365,2,1,1,1,1,150.0,37.5,4.0,1.0,0.25,11.965020576131668,24.345922016851713,26.666666666666668,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1.0,1.0,1.0,2,2,1,2,3,7,1,0,1,1,1,95.0,47.5,2.0,1.0,1.0,-0.20639834881321928,1.0249747864533147,15.789473684210526,15.789473684210526,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,1.0,1.0,1.0,2,2,1,1,3,1125,2,0,0,1,1,99.0,49.5,2.0,1.0,0.5,-1.82171055533501,6.050318075990284,151.5151515151515,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12,1.0,2.0,3.0,2,4,1,1,3,14,1,0,0,1,1,245.0,61.25,1.3333333333333333,0.3333333333333333,0.25,-1.5785319652723007,5.459442331039133,38.775510204081634,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1.0,2.0,3.0,2,5,1,4,2,1125,2,0,0,1,1,165.0,33.0,1.6666666666666667,0.3333333333333333,0.8,19.393939393939384,30.767188341446772,51.515151515151516,12.121212121212121,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14,3.5,6.0,15.0,2,16,1,8,3,29,2,0,0,1,1,450.0,28.8125,1.0666666666666667,0.23333333333333334,0.5,44.93091073122517,26.792798395439632,65.0759219088937,10.84598698481562,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,1.0,2.0,2.0,2,5,1,1,3,15,2,0,0,1,0,109.0,21.8,2.5,0.5,0.2,0.0,0.0,81.65137614678899,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16,1.0,1.0,1.0,1,2,1,1,1,10,1,0,0,1,1,66.0,33.0,2.0,1.0,0.5,1.7982017982017817,17.6812326722237,53.03030303030303,37.878787878787875,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1.0,1.0,1.0,1,2,1,1,2,14,1,0,0,1,1,99.0,49.5,2.0,1.0,0.5,-0.35442140705298497,1.8640599982270099,15.151515151515152,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18,2.0,1.0,1.0,1,2,0,1,1,1125,0,0,0,1,1,200.0,100.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19,3.5,5.0,5.0,2,10,1,1,3,30,0,0,0,1,1,450.0,70.0,2.0,0.7,0.1,0.0,0.0,35.714285714285715,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
